Column,Missing Count,Missing (%),Status
13.  What are the major security concerns faced by Nigerians as a result of the presence of refugees? (Nigerians Only),119,64.32,🔴 High
Ko5. How long have you been in this community since Cameroonians came (Nigerians only)? ,108,58.38,🔴 High
"
6. What was the primary reason for leaving Cameroon?",62,33.51,🔴 High
7.  Did you come to Nigeria alone or with family?,61,32.97,🔴 High
4. How long have you lived in Nigeria? (For Cameroonian refugees only),61,32.97,🔴 High
9.  Have you or someone you know experienced security threats or conflicts in Nigeria?,55,29.73,🔴 High
8. Do you feel safe in your current location?,42,22.7,🔴 High
12. What are the major security concerns faced by Cameroonian refugees in Nigeria?,41,22.16,🔴 High
16. Do you have any recommendations on how to improve relations between Cameroonian refugees and Nigerians?,5,2.7,🟢 Low
Timestamp,0,0.0,✅ Complete
2.  Gender:,0,0.0,✅ Complete
3. Nationality:,0,0.0,✅ Complete
1. Age,0,0.0,✅ Complete
11. How would you describe the relationship between Cameroonian refugees and Nigerians?,0,0.0,✅ Complete
10. Have there been any reported incidents of crime or violence involving refugees and local communities?,0,0.0,✅ Complete
"14. Are there opportunities for Cameroonian refugees to integrate into Nigerian society (e.g., work, education, social support)?",0,0.0,✅ Complete
15.What support do you think the Nigerian government should provide to both refugees and host communities to improve security?,0,0.0,✅ Complete
